# LANG=zh_TW
狂傲	ㄎㄨㄤˊ ㄠˋ
狂士	ㄎㄨㄤˊ ㄕˋ
狂妄	ㄎㄨㄤˊ ㄨㄤˋ
狂客	ㄎㄨㄤˊ ㄎㄜˋ
狂怒	ㄎㄨㄤˊ ㄋㄨˋ
狂詩	ㄎㄨㄤˊ ㄕ
狂鬧	ㄎㄨㄤˊ ㄋㄠˋ
獅王	ㄕ ㄨㄤˊ
王事	ㄨㄤˊ ㄕˋ
王匡	ㄨㄤˊ ㄎㄨㄤ
王室	ㄨㄤˊ ㄕˋ
王師	ㄨㄤˊ ㄕ
王母	ㄨㄤˊ ㄇㄨˇ
王考	ㄨㄤˊ ㄎㄠˇ
王莽	ㄨㄤˊ ㄇㄤˇ
甚麼	ㄕㄜˊ ㄇㄜ˙
疏失	ㄕㄨ ㄕ
目次	ㄇㄨˋ ㄘˋ
目測	ㄇㄨˋ ㄘㄜˋ
目眶	ㄇㄨˋ ㄎㄨㄤ
目眶	ㄇㄨˋ ㄎㄨㄤˋ
盲目	ㄇㄤˊ ㄇㄨˋ
矢石	ㄕˇ ㄕˊ
石刻	ㄕˊ ㄎㄜ
石刻	ㄕˊ ㄎㄜˋ
石室	ㄕˊ ㄕˋ
石屋	ㄕˊ ㄨ
石獅	ㄕˊ ㄕ
石礦	ㄕˊ ㄎㄨㄤˋ
石窟	ㄕˊ ㄎㄨ
磁石	ㄘˊ ㄕˊ
礦務	ㄎㄨㄤˋ ㄨˋ
礦物	ㄎㄨㄤˋ ㄨˋ
礦石	ㄎㄨㄤˋ ㄕˊ
礦藏	ㄎㄨㄤˋ ㄘㄤˊ
社務	ㄕㄜˋ ㄨˋ
社鼠	ㄕㄜˋ ㄕㄨˇ
科克	ㄎㄜ ㄎㄜˋ
科室	ㄎㄜ ㄕˋ
科目	ㄎㄜ ㄇㄨˋ
科考	ㄎㄜ ㄎㄠˇ
稍事	ㄕㄠ ㄕˋ
稍可	ㄕㄠ ㄎㄜˇ
稍稍	ㄕㄠ ㄕㄠ
穆穆	ㄇㄨˋ ㄇㄨˋ
窟室	ㄎㄨ ㄕˋ
策士	ㄘㄜˋ ㄕˋ
策試	ㄘㄜˋ ㄕˋ
筮書	ㄕˋ ㄕㄨ
粗毛	ㄘㄨ ㄇㄠˊ
粗粗	ㄘㄨ ㄘㄨ
粗糙	ㄘㄨ ㄘㄠ
粗糙	ㄘㄨ ㄘㄠˋ
粗糠	ㄘㄨ ㄎㄤ
紹述	ㄕㄠˋ ㄕㄨˋ
網目	ㄨㄤˇ ㄇㄨˋ
考上	ㄎㄠˇ ㄕㄤˋ
考考	ㄎㄠˇ ㄎㄠˇ
考考試	ㄎㄠˇ ㄎㄠˇ ㄕˋ
考試	ㄎㄠˇ ㄕˋ
考試時	ㄎㄠˇ ㄕˋ ㄕˊ
腦室	ㄋㄠˇ ㄕˋ
腦殼	ㄋㄠˇ ㄎㄜˊ
舌上	ㄕㄜˊ ㄕㄤˋ
舌識	ㄕㄜˊ ㄕˋ
舒適	ㄕㄨ ㄕˋ
舞客	ㄨˇ ㄎㄜˋ
舞獅	ㄨˇ ㄕ
舞王	ㄨˇ ㄨㄤˊ
艙室	ㄘㄤ ㄕˋ
芒刺	ㄇㄤˊ ㄘˋ
芒草	ㄇㄤˊ ㄘㄠˇ
苛刻	ㄎㄜ ㄎㄜˋ
苜苜	ㄇㄨˋ ㄇㄨˋ
苦事	ㄎㄨˇ ㄕˋ
苦惱	ㄎㄨˇ ㄋㄠˇ
苦樹	ㄎㄨˇ ㄕㄨˋ
苦無	ㄎㄨˇ ㄨˊ
苦苦	ㄎㄨˇ ㄎㄨˇ
茅屋	ㄇㄠˊ ㄨ
茅廁	ㄇㄠˊ ㄘㄜˋ
茅舍	ㄇㄠˊ ㄕㄜˋ
茅草	ㄇㄠˊ ㄘㄠˇ
茅草屋	ㄇㄠˊ ㄘㄠˇ ㄨ
茫茫	ㄇㄤˊ ㄇㄤˊ
草帽	ㄘㄠˇ ㄇㄠˋ
草書	ㄘㄠˇ ㄕㄨ
草木	ㄘㄠˇ ㄇㄨˋ
草科	ㄘㄠˇ ㄎㄜ
草草	ㄘㄠˇ ㄘㄠˇ
草莽	ㄘㄠˇ ㄇㄤˇ
莽莽	ㄇㄤˇ ㄇㄤˇ
莽蒼	ㄇㄤˇ ㄘㄤ
蒼茫	ㄘㄤ ㄇㄤˊ
蒼莽	ㄘㄤ ㄇㄤˇ
蒼蒼	ㄘㄤ ㄘㄤ
蔬食	ㄕㄨ ㄕˊ
藏書	ㄘㄤˊ ㄕㄨ
藏書室	ㄘㄤˊ ㄕㄨ ㄕˋ
藏書庫	ㄘㄤˊ ㄕㄨ ㄎㄨˋ
藏污	ㄘㄤˊ ㄨ
藏藏	ㄘㄤˊ ㄘㄤˊ
蛇王	ㄕㄜˊ ㄨㄤˊ
蝕刻	ㄕˊ ㄎㄜ
蝕刻師	ㄕˊ ㄎㄜ ㄕ
蟒蛇	ㄇㄤˇ ㄕㄜˊ
術士	ㄕㄨˋ ㄕˋ
術數	ㄕㄨˋ ㄕㄨˋ
術科	ㄕㄨˋ ㄎㄜ
襖褲	ㄠˇ ㄎㄨˋ
視事	ㄕˋ ㄕˋ
訛誤	ㄜˊ ㄨˋ
設使	ㄕㄜˋ ㄕˇ
設施	ㄕㄜˋ ㄕ
設設	ㄕㄜˋ ㄕㄜˋ
詞庫	ㄘˊ ㄎㄨˋ
試射	ㄕˋ ㄕㄜˋ
試試	ㄕˋ ㄕˋ
詩史	ㄕ ㄕˇ
詩書	ㄕ ㄕㄨ
詩社	ㄕ ㄕㄜˋ
詩草	ㄕ ㄘㄠˇ
詩詞	ㄕ ㄘˊ
誑妄	ㄎㄨㄤˊ ㄨㄤˋ
誓師	ㄕˋ ㄕ
誓詞	ㄕˋ ㄘˊ
誓辭	ㄕˋ ㄘˊ
誤事	ㄨˋ ㄕˋ
誤傷	ㄨˋ ㄕㄤ
誤時	ㄨˋ ㄕˊ
誤測	ㄨˋ ㄘㄜˋ
誤訛	ㄨˋ ㄜˊ
誤食	ㄨˋ ㄕˊ
課室	ㄎㄜˋ ㄕˋ
課時	ㄎㄜˋ ㄕˊ
課目	ㄎㄜˋ ㄇㄨˋ
諤諤	ㄜˋ ㄜˋ
識時務	ㄕˋ ㄕˊ ㄨˋ
貓王	ㄇㄠ ㄨㄤˊ
賞望	ㄕㄤˇ ㄨㄤˋ
賞識	ㄕㄤˇ ㄕˋ
賞賜	ㄕㄤˇ ㄘˋ
輸往	ㄕㄨ ㄨㄤˇ
輸輸	ㄕㄨ ㄕㄨ
辭世	ㄘˊ ㄕˋ
辭庫	ㄘˊ ㄎㄨˋ
述詞	ㄕㄨˋ ㄘˊ
逝世	ㄕˋ ㄕˋ
適時	ㄕˋ ㄕˊ
邵武	ㄕㄠˋ ㄨˇ
邵氏	ㄕㄠˋ ㄕˋ
酷暑	ㄎㄨˋ ㄕㄨˇ
雌獅	ㄘ ㄕ
雌獅	ㄘˊ ㄕ
雙亡	ㄕㄨㄤ ㄨㄤˊ
雙十	ㄕㄨㄤ ㄕˊ
雙數	ㄕㄨㄤ ㄕㄨˋ
雙目	ㄕㄨㄤ ㄇㄨˋ
雙雙	ㄕㄨㄤ ㄕㄨㄤ
霧社	ㄨˋ ㄕㄜˋ
靠上	ㄎㄠˋ ㄕㄤˋ
額數	ㄜˊ ㄕㄨˋ
額飾	ㄜˊ ㄕˋ
食客	ㄕˊ ㄎㄜˋ
食槽	ㄕˊ ㄘㄠˊ
食物	ㄕˊ ㄨˋ
飾物	ㄕˋ ㄨˋ
飾詞	ㄕˋ ㄘˊ
飾辭	ㄕˋ ㄘˊ
餓貓	ㄜˋ ㄇㄠ
餓餓	ㄜˋ ㄜˋ
駛往	ㄕˇ ㄨㄤˇ
鬧事	ㄋㄠˋ ㄕˋ
鬧市	ㄋㄠˋ ㄕˋ
鵝毛	ㄜˊ ㄇㄠˊ
麝貓	ㄕㄜˋ ㄇㄠ
鼠目	ㄕㄨˇ ㄇㄨˋ
鼠窟	ㄕㄨˇ ㄎㄨ
鼯鼠	ㄨˊ ㄕㄨˇ
